id,employee_id,emp_code,date,check_in_time,check_out_time,shift_id,expected_start_time,expected_end_time,total_working_minutes,total_working_hours,is_present,is_late,is_early_departure,late_minutes,early_departure_minutes,status,notes,created_at,updated_at,processed_by,leave_id,leave_type,holiday_name
44,6,2618,2025-05-13,2025-05-13 08:08:37.000000,2025-05-13 17:00:41.000000,1.0,08:00:00.000000,17:00:00.000000,532,8.87,1,1,0,8,0,on_leave,,2025-06-23 13:54:06.872887,2025-06-25 17:01:15.168992,,1.0,Annual Leave,
45,6,2618,2025-05-14,2025-05-14 08:16:13.000000,2025-05-14 17:03:23.000000,1.0,08:00:00.000000,17:00:00.000000,527,8.78,1,1,0,16,0,on_leave,,2025-06-23 13:54:06.882574,2025-06-25 17:01:15.179850,,1.0,Annual Leave,
46,6,2618,2025-05-15,2025-05-15 07:59:41.000000,2025-05-15 17:13:00.000000,1.0,08:00:00.000000,17:00:00.000000,553,9.22,1,0,0,0,0,on_leave,,2025-06-23 13:54:06.891713,2025-06-25 17:01:15.191123,,1.0,Annual Leave,
47,6,2618,2025-05-16,2025-05-16 07:55:51.000000,2025-05-16 16:27:45.000000,1.0,08:00:00.000000,17:00:00.000000,511,8.52,1,0,1,0,32,on_leave,,2025-06-23 13:54:06.901378,2025-06-25 17:01:15.202060,,1.0,Annual Leave,
48,6,2618,2025-05-17,2025-05-17 08:59:05.000000,2025-05-17 13:00:57.000000,1.0,09:00:00.000000,13:00:00.000000,241,4.02,1,0,0,0,0,on_leave,,2025-06-23 13:54:06.912939,2025-06-25 17:01:15.214560,,1.0,Annual Leave,
49,6,2618,2025-05-18,,,1.0,,,0,0.0,1,0,0,0,0,day_off,,2025-06-23 13:54:06.920846,2025-06-25 17:01:15.225679,,,,
50,6,2618,2025-05-19,2025-05-19 07:47:23.000000,2025-05-19 17:15:15.000000,1.0,08:00:00.000000,17:00:00.000000,567,9.45,1,0,0,0,0,present,,2025-06-23 13:54:06.930030,2025-06-25 17:01:15.237087,,,,
51,6,2618,2025-05-20,2025-05-20 07:55:16.000000,2025-05-20 17:17:44.000000,1.0,08:00:00.000000,17:00:00.000000,562,9.37,1,0,0,0,0,present,,2025-06-23 13:54:06.940212,2025-06-25 17:01:15.248420,,,,
52,6,2618,2025-05-21,2025-05-21 07:49:09.000000,2025-05-21 17:06:18.000000,1.0,08:00:00.000000,17:00:00.000000,557,9.28,1,0,0,0,0,present,,2025-06-23 13:54:06.949213,2025-06-25 17:01:15.259441,,,,
53,6,2618,2025-05-22,2025-05-22 07:43:08.000000,2025-05-22 17:05:04.000000,1.0,08:00:00.000000,17:00:00.000000,561,9.35,1,0,0,0,0,present,,2025-06-23 13:54:06.957852,2025-06-25 17:01:15.270242,,,,
54,6,2618,2025-05-23,2025-05-23 07:59:08.000000,2025-05-23 17:05:42.000000,1.0,08:00:00.000000,17:00:00.000000,546,9.1,1,0,0,0,0,present,,2025-06-23 13:54:06.967444,2025-06-25 17:01:15.281245,,,,
55,6,2618,2025-05-24,,,1.0,,,0,0.0,0,0,0,0,0,absent,,2025-06-23 13:54:06.977121,2025-06-25 17:01:15.291362,,,,
56,6,2618,2025-05-25,,,1.0,,,0,0.0,1,0,0,0,0,day_off,,2025-06-23 13:54:06.985641,2025-06-25 17:01:15.300819,,,,
57,6,2618,2025-05-26,2025-05-26 08:09:07.000000,2025-05-26 17:11:40.000000,1.0,08:00:00.000000,17:00:00.000000,542,9.03,1,1,0,9,0,present,,2025-06-23 13:54:06.995429,2025-06-25 17:01:15.312024,,,,
58,6,2618,2025-05-27,2025-05-27 08:09:59.000000,2025-05-27 17:01:28.000000,1.0,08:00:00.000000,17:00:00.000000,531,8.85,1,1,0,9,0,present,,2025-06-23 13:54:07.004473,2025-06-25 17:01:15.323543,,,,
59,6,2618,2025-05-28,2025-05-28 08:10:20.000000,2025-05-28 17:09:54.000000,1.0,08:00:00.000000,17:00:00.000000,539,8.98,1,1,0,10,0,present,,2025-06-23 13:54:07.013611,2025-06-25 17:01:15.335193,,,,
60,6,2618,2025-05-29,2025-05-29 08:00:47.000000,2025-05-29 17:07:39.000000,1.0,08:00:00.000000,17:00:00.000000,546,9.1,1,1,0,0,0,present,,2025-06-23 13:54:07.022018,2025-06-25 17:01:15.348144,,,,
61,6,2618,2025-05-30,2025-05-30 08:27:16.000000,2025-05-30 17:04:12.000000,1.0,08:00:00.000000,17:00:00.000000,516,8.6,1,1,0,27,0,late,,2025-06-23 13:54:07.029857,2025-06-25 17:01:15.359369,,,,
62,4,2581,2024-12-01,,,,,,0,0.0,0,0,0,0,0,absent,,2025-06-23 15:13:16.744606,2025-06-23 15:13:16.744612,,,,
63,4,2581,2024-12-02,2024-12-02 07:45:20.000000,2024-12-02 17:19:06.000000,1.0,08:00:00.000000,17:00:00.000000,573,9.55,1,0,0,0,0,present,,2025-06-23 15:13:16.753279,2025-06-23 15:13:16.753286,,,,
64,4,2581,2024-12-03,2024-12-03 07:58:44.000000,2024-12-03 17:14:27.000000,1.0,08:00:00.000000,17:00:00.000000,555,9.25,1,0,0,0,0,present,,2025-06-23 15:13:16.767811,2025-06-23 15:13:16.767816,,,,
65,4,2581,2024-12-04,2024-12-04 08:04:11.000000,2024-12-04 17:48:04.000000,1.0,08:00:00.000000,17:00:00.000000,583,9.72,1,1,0,4,0,present,,2025-06-23 15:13:16.777994,2025-06-23 15:13:16.777999,,,,
66,4,2581,2024-12-05,2024-12-05 08:14:48.000000,,1.0,08:00:00.000000,17:00:00.000000,0,0.0,1,1,0,14,0,half_day,,2025-06-23 15:13:16.787515,2025-06-23 15:13:16.787520,,,,
67,4,2581,2024-12-06,2024-12-06 08:21:30.000000,2024-12-06 17:41:00.000000,1.0,08:00:00.000000,17:00:00.000000,559,9.32,1,1,0,21,0,late,,2025-06-23 15:13:16.795164,2025-06-23 15:13:16.795169,,,,
68,4,2581,2024-12-07,2024-12-07 09:36:26.000000,2024-12-07 13:13:31.000000,1.0,09:00:00.000000,13:00:00.000000,217,3.62,1,1,0,36,0,late,,2025-06-23 15:13:16.802781,2025-06-23 15:13:16.802787,,,,
69,4,2581,2024-12-08,,,,,,0,0.0,0,0,0,0,0,absent,,2025-06-23 15:13:16.810767,2025-06-23 15:13:16.810772,,,,
